sample_id,length,was_split,num_segments,original_cer,split_cer,cer_improvement,original_wer,split_wer
hf_26,35,False,1,0.028571,0.028571,0.000000,0.142857,0.142857
hf_37,32,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_75,38,False,1,0.052632,0.052632,0.000000,0.250000,0.250000
hf_110,49,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_141,34,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_168,36,False,1,0.277778,0.277778,0.000000,0.833333,0.833333
hf_175,8,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_212,62,False,1,0.322581,0.322581,0.000000,1.000000,1.000000
hf_232,53,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_363,53,False,1,0.113208,0.113208,0.000000,0.500000,0.500000
hf_386,38,False,1,0.026316,0.026316,0.000000,0.333333,0.333333
hf_425,26,False,1,0.076923,0.076923,0.000000,0.500000,0.500000
hf_471,73,False,1,0.027397,0.027397,0.000000,0.111111,0.111111
hf_512,92,False,1,0.423913,0.423913,0.000000,0.833333,0.833333
hf_610,46,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_633,35,False,1,0.171429,0.171429,0.000000,0.750000,0.750000
hf_665,38,False,1,0.394737,0.394737,0.000000,1.000000,1.000000
hf_752,23,False,1,0.086957,0.086957,0.000000,0.250000,0.250000
hf_803,43,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_829,63,False,1,0.015873,0.015873,0.000000,0.125000,0.125000
hf_896,29,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_927,78,False,1,0.012821,0.012821,0.000000,0.100000,0.100000
hf_967,75,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_1130,39,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_1270,19,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_1276,82,False,1,0.048780,0.048780,0.000000,0.428571,0.428571
hf_1280,53,False,1,0.301887,0.301887,0.000000,1.000000,1.000000
hf_1335,26,False,1,0.038462,0.038462,0.000000,0.500000,0.500000
hf_1359,34,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_1378,29,False,1,0.206897,0.206897,0.000000,0.750000,0.750000
hf_1550,50,False,1,0.040000,0.040000,0.000000,0.285714,0.285714
hf_1600,70,False,1,0.028571,0.028571,0.000000,0.100000,0.100000
hf_1624,45,False,1,0.044444,0.044444,0.000000,0.200000,0.200000
hf_1639,10,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_1682,19,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_1695,57,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_1739,38,False,1,0.026316,0.026316,0.000000,0.200000,0.200000
hf_1767,24,False,1,0.125000,0.125000,0.000000,1.000000,1.000000
hf_1776,46,False,1,0.021739,0.021739,0.000000,0.166667,0.166667
hf_1808,36,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_1880,21,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_1891,17,False,1,0.058824,0.058824,0.000000,0.500000,0.500000
hf_1902,38,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_1952,57,False,1,0.333333,0.333333,0.000000,1.000000,1.000000
hf_2033,6,False,1,0.666667,0.666667,0.000000,1.000000,1.000000
hf_2058,37,False,1,0.135135,0.135135,0.000000,0.750000,0.750000
hf_2082,49,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_2103,35,False,1,0.228571,0.228571,0.000000,1.000000,1.000000
hf_2139,62,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_2361,40,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_2404,19,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_2507,31,False,1,0.548387,0.548387,0.000000,1.333333,1.333333
hf_2537,56,False,1,0.017857,0.017857,0.000000,0.125000,0.125000
hf_2604,35,False,1,0.057143,0.057143,0.000000,0.400000,0.400000
hf_2612,36,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_2614,25,False,1,0.560000,0.560000,0.000000,1.000000,1.000000
hf_2636,23,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_2638,41,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_2691,41,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_2741,45,False,1,0.044444,0.044444,0.000000,0.200000,0.200000
hf_2847,21,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_2889,12,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_2908,36,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_2982,59,False,1,0.152542,0.152542,0.000000,0.428571,0.428571
hf_3003,42,False,1,0.142857,0.142857,0.000000,0.571429,0.571429
hf_3028,88,False,1,0.250000,0.250000,0.000000,0.444444,0.444444
hf_3087,45,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_3286,47,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_3291,13,False,1,0.307692,0.307692,0.000000,1.000000,1.000000
hf_3295,58,False,1,0.327586,0.327586,0.000000,1.125000,1.125000
hf_3315,32,False,1,0.156250,0.156250,0.000000,0.500000,0.500000
hf_3329,36,False,1,0.305556,0.305556,0.000000,0.625000,0.625000
hf_3367,34,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_3382,35,False,1,0.485714,0.485714,0.000000,1.000000,1.000000
hf_3413,36,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_3513,58,False,1,0.465517,0.465517,0.000000,0.888889,0.888889
hf_3550,49,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_3552,62,False,1,0.048387,0.048387,0.000000,0.285714,0.285714
hf_3573,58,False,1,0.051724,0.051724,0.000000,0.428571,0.428571
hf_3665,72,False,1,0.430556,0.430556,0.000000,1.000000,1.000000
hf_3727,24,False,1,0.041667,0.041667,0.000000,0.333333,0.333333
hf_3746,17,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_3796,14,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_3832,40,False,1,0.025000,0.025000,0.000000,0.142857,0.142857
hf_3842,64,False,1,0.156250,0.156250,0.000000,0.714286,0.714286
hf_3858,66,False,1,0.227273,0.227273,0.000000,0.857143,0.857143
hf_3908,45,False,1,0.022222,0.022222,0.000000,0.166667,0.166667
hf_3947,21,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_3972,87,False,1,0.183908,0.183908,0.000000,0.250000,0.250000
hf_3994,31,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_4080,36,False,1,0.194444,0.194444,0.000000,0.750000,0.750000
hf_4163,12,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_4196,33,False,1,0.636364,0.636364,0.000000,1.000000,1.000000
hf_4209,57,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_4282,16,False,1,0.062500,0.062500,0.000000,0.500000,0.500000
hf_4337,35,False,1,0.228571,0.228571,0.000000,1.000000,1.000000
hf_4417,33,False,1,0.030303,0.030303,0.000000,0.333333,0.333333
hf_4453,62,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_4490,37,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_4496,62,False,1,0.032258,0.032258,0.000000,0.125000,0.125000
hf_4508,63,False,1,0.063492,0.063492,0.000000,0.500000,0.500000
hf_4519,66,False,1,0.606061,0.606061,0.000000,1.000000,1.000000
hf_4535,44,False,1,0.386364,0.386364,0.000000,0.619048,0.619048
hf_4549,34,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_4558,37,False,1,0.054054,0.054054,0.000000,0.500000,0.500000
hf_4575,38,False,1,0.078947,0.078947,0.000000,0.400000,0.400000
hf_4585,51,False,1,0.215686,0.215686,0.000000,1.000000,1.000000
hf_4643,29,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_4652,49,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_4664,33,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_4679,44,False,1,0.818182,0.818182,0.000000,1.000000,1.000000
hf_4754,49,False,1,0.183673,0.183673,0.000000,1.000000,1.000000
hf_4772,65,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_4801,63,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_4855,51,False,1,0.313725,0.313725,0.000000,0.888889,0.888889
hf_4919,35,False,1,0.085714,0.085714,0.000000,0.666667,0.666667
hf_4931,14,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_4940,63,False,1,0.015873,0.015873,0.000000,0.142857,0.142857
hf_4980,58,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_5077,37,False,1,0.027027,0.027027,0.000000,0.200000,0.200000
hf_5161,53,False,1,0.056604,0.056604,0.000000,0.428571,0.428571
hf_5164,48,False,1,0.166667,0.166667,0.000000,0.571429,0.571429
hf_5229,28,False,1,0.107143,0.107143,0.000000,0.666667,0.666667
hf_5250,57,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_5271,16,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_5280,30,False,1,0.200000,0.200000,0.000000,0.800000,0.800000
hf_5320,59,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_5367,42,False,1,0.380952,0.380952,0.000000,0.571429,0.571429
hf_5372,43,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_5501,69,False,1,0.521739,0.521739,0.000000,1.000000,1.000000
hf_5557,38,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_5582,49,False,1,0.020408,0.020408,0.000000,0.166667,0.166667
hf_5610,39,False,1,0.051282,0.051282,0.000000,0.500000,0.500000
hf_5613,36,False,1,0.277778,0.277778,0.000000,0.833333,0.833333
hf_5679,44,False,1,0.045455,0.045455,0.000000,0.285714,0.285714
hf_5697,61,False,1,0.229508,0.229508,0.000000,0.600000,0.600000
hf_5771,50,False,1,0.120000,0.120000,0.000000,0.800000,0.800000
hf_5957,48,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_5979,55,False,1,0.109091,0.109091,0.000000,0.571429,0.571429
hf_5985,67,False,1,0.074627,0.074627,0.000000,0.125000,0.125000
hf_6048,24,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_6078,33,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_6098,55,False,1,0.127273,0.127273,0.000000,0.571429,0.571429
hf_6108,12,False,1,0.250000,0.250000,0.000000,1.000000,1.000000
hf_6112,98,True,2,0.408163,0.000000,0.408163,0.500000,0.000000
hf_6120,52,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_6140,68,False,1,0.735294,0.735294,0.000000,1.000000,1.000000
hf_6181,49,False,1,0.469388,0.469388,0.000000,1.000000,1.000000
hf_6338,54,False,1,0.037037,0.037037,0.000000,0.285714,0.285714
hf_6352,11,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_6416,38,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_6449,54,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_6503,15,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_6552,12,False,1,0.166667,0.166667,0.000000,1.000000,1.000000
hf_6588,86,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_6619,44,False,1,0.045455,0.045455,0.000000,0.285714,0.285714
hf_6678,24,False,1,0.500000,0.500000,0.000000,1.500000,1.500000
hf_6698,34,False,1,0.676471,0.676471,0.000000,1.000000,1.000000
hf_6717,71,False,1,0.380282,0.380282,0.000000,0.666667,0.666667
hf_6723,60,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_6736,33,False,1,0.060606,0.060606,0.000000,0.200000,0.200000
hf_6788,54,False,1,0.111111,0.111111,0.000000,0.666667,0.666667
hf_6855,54,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_6916,56,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_6973,48,False,1,0.250000,0.250000,0.000000,0.833333,0.833333
hf_6985,27,False,1,0.074074,0.074074,0.000000,0.400000,0.400000
hf_7014,25,False,1,0.440000,0.440000,0.000000,1.000000,1.000000
hf_7084,41,False,1,0.707317,0.707317,0.000000,1.000000,1.000000
hf_7104,43,False,1,0.348837,0.348837,0.000000,1.000000,1.000000
hf_7161,43,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_7185,44,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_7296,28,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_7310,79,False,1,0.202532,0.202532,0.000000,0.300000,0.300000
hf_7331,24,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
